0, 0, Header, 1, 18, 480
1, 0, Start_track
1, 0, Title_t, ""
1, 0, Copyright_t, "Copyright (C) 2010 "
1, 0, Text_t, "\201y\203T\203C\203g\226¼\201z URL"
1, 0, Tempo, 500000
1, 0, Marker_t, "Setup"
1, 0, Time_signature, 4, 2, 24, 8
1, 240, Tempo, 500000
1, 480, Tempo, 375000
1, 1920, Marker_t, "Start"
1, 1920, End_track
2, 0, Start_track
2, 0, Title_t, "System Setup"
2, 0, MIDI_port, 0
2, 0, Text_t, "---- Reset --------------------------------------------------"
2, 0, System_exclusive, 5, 126, 127, 9, 1, 247
2, 60, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
2, 120, Text_t, "---- \221S\221Ì\220Ý\222è --------------------------------------------------"
2, 120, System_exclusive, 7, 127, 127, 4, 1, 0, 127, 247
2, 124, Text_t, "---- Drum \222Ç\211Á --------------------------------------------------"
2, 124, System_exclusive, 10, 65, 16, 66, 18, 64, 17, 21, 0, 26, 247
2, 128, System_exclusive, 10, 65, 16, 66, 18, 64, 18, 21, 0, 25, 247
2, 132, System_exclusive, 10, 65, 16, 66, 18, 64, 19, 21, 0, 24, 247
2, 136, System_exclusive, 10, 65, 16, 66, 18, 64, 20, 21, 0, 23, 247
2, 140, System_exclusive, 10, 65, 16, 66, 18, 64, 21, 21, 0, 22, 247
2, 144, System_exclusive, 10, 65, 16, 66, 18, 64, 22, 21, 0, 21, 247
2, 148, System_exclusive, 10, 65, 16, 66, 18, 64, 23, 21, 0, 20, 247
2, 152, System_exclusive, 10, 65, 16, 66, 18, 64, 24, 21, 0, 19, 247
2, 156, System_exclusive, 10, 65, 16, 66, 18, 64, 25, 21, 0, 18, 247
2, 160, System_exclusive, 10, 65, 16, 66, 18, 64, 16, 21, 1, 26, 247
2, 164, System_exclusive, 10, 65, 16, 66, 18, 64, 26, 21, 0, 17, 247
2, 168, System_exclusive, 10, 65, 16, 66, 18, 64, 27, 21, 0, 16, 247
2, 172, System_exclusive, 10, 65, 16, 66, 18, 64, 28, 21, 0, 15, 247
2, 176, System_exclusive, 10, 65, 16, 66, 18, 64, 29, 21, 0, 14, 247
2, 180, System_exclusive, 10, 65, 16, 66, 18, 64, 30, 21, 0, 13, 247
2, 184, System_exclusive, 10, 65, 16, 66, 18, 64, 31, 21, 0, 12, 247
2, 188, Text_t, "---- CH Setup --------------------------------------------------"
2, 210, Text_t, "---- Layer --------------------------------------------------"
2, 238, Text_t, "---- End of System Setup --------------------------------------------------"
2, 240, End_track
3, 0, Start_track
3, 0, Title_t, "CH01"
3, 0, MIDI_port, 0
3, 0, Text_t, "---- System Setup --------------------------------------------------"
3, 188, Text_t, "---- CH Setup --------------------------------------------------"
3, 188, Control_c, 0, 121, 0
3, 189, Control_c, 0, 0, 0
3, 189, Control_c, 0, 32, 0
3, 189, Program_c, 0, 3
3, 192, Control_c, 0, 10, 64
3, 193, Control_c, 0, 7, 100
3, 194, Control_c, 0, 91, 0
3, 195, Control_c, 0, 11, 127
3, 196, Control_c, 0, 1, 0
3, 197, Control_c, 0, 101, 0
3, 197, Control_c, 0, 100, 1
3, 197, Control_c, 0, 6, 64
3, 197, Control_c, 0, 38, 0
3, 201, Control_c, 0, 101, 0
3, 201, Control_c, 0, 100, 2
3, 201, Control_c, 0, 6, 64
3, 204, Control_c, 0, 101, 0
